author,book,special,directory
Florence Nightingale,12439,False,/home/isaac/Documents/Github/Author-identification/gutenberg/1/2/4/3/12439/12439.txt
Florence Nightingale,49732,False,/home/isaac/Documents/Github/Author-identification/gutenberg/4/9/7/3/49732/49732-0.txt
Max O'Rell,33416,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/3/4/1/33416/33416.txt
Max O'Rell,32261,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/2/2/6/32261/32261.txt
Max O'Rell,34684,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/4/6/8/34684/34684.txt
Max O'Rell,33564,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/3/5/6/33564/33564.txt
Max O'Rell,33883,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/3/8/8/33883/33883.txt
Max O'Rell,38532,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/8/5/3/38532/38532.txt
Mrs. Molesworth,43127,False,/home/isaac/Documents/Github/Author-identification/gutenberg/4/3/1/2/43127/43127.txt
Mrs. Molesworth,39662,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/9/6/6/39662/39662.txt
Mrs. Molesworth,39554,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/9/5/5/39554/39554.txt
Mrs. Molesworth,43106,False,/home/isaac/Documents/Github/Author-identification/gutenberg/4/3/1/0/43106/43106.txt
Mrs. Molesworth,28619,False,/home/isaac/Documents/Github/Author-identification/gutenberg/2/8/6/1/28619/28619.txt
Mrs. Molesworth,43108,False,/home/isaac/Documents/Github/Author-identification/gutenberg/4/3/1/0/43108/43108.txt
Lawrence L. Lynch,38888,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/8/8/8/38888/38888.txt
Lawrence L. Lynch,25695,False,/home/isaac/Documents/Github/Author-identification/gutenberg/2/5/6/9/25695/25695.txt
Lawrence L. Lynch,35304,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/5/3/0/35304/35304.txt
Lawrence L. Lynch,26482,False,/home/isaac/Documents/Github/Author-identification/gutenberg/2/6/4/8/26482/26482.txt
Lawrence L. Lynch,29670,False,/home/isaac/Documents/Github/Author-identification/gutenberg/2/9/6/7/29670/29670.txt
Lawrence L. Lynch,36366,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/6/3/6/36366/36366.txt
Murray Leinster,29448,False,/home/isaac/Documents/Github/Author-identification/gutenberg/2/9/4/4/29448/29448.txt
Murray Leinster,52574,False,/home/isaac/Documents/Github/Author-identification/gutenberg/5/2/5/7/52574/52574.txt
Murray Leinster,50022,False,/home/isaac/Documents/Github/Author-identification/gutenberg/5/0/0/2/50022/50022-8.txt
Murray Leinster,50719,False,/home/isaac/Documents/Github/Author-identification/gutenberg/5/0/7/1/50719/50719-8.txt
Murray Leinster,50622,False,/home/isaac/Documents/Github/Author-identification/gutenberg/5/0/6/2/50622/50622-8.txt
Murray Leinster,51102,False,/home/isaac/Documents/Github/Author-identification/gutenberg/5/1/1/0/51102/51102-8.txt
The Earl of Chesterfield,3357,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/3/5/3357/3357.txt
The Earl of Chesterfield,3352,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/3/5/3352/3352.txt
The Earl of Chesterfield,3355,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/3/5/3355/3355.txt
The Earl of Chesterfield,3353,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/3/5/3353/3353.txt
The Earl of Chesterfield,3360,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/3/6/3360/3360.txt
The Earl of Chesterfield,3359,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/3/5/3359/3359.txt
Thomas Paine,3755,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/7/5/3755/3755.txt
Thomas Paine,31270,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/1/2/7/31270/31270.txt
Thomas Paine,15279,False,/home/isaac/Documents/Github/Author-identification/gutenberg/1/5/2/7/15279/15279.txt
Thomas Paine,3742,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/7/4/3742/3742.txt
Thomas Paine,3741,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/7/4/3741/3741.txt
Thomas Paine,3743,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/7/4/3743/3743.txt
